"id","title","description","avatar","slug","is_active","is_featured","favorite_id","user_id","category_id","created_at","updated_at","deleted_at"
"1","Welcome to Our Blog","This is the first post on our blog, created by the admin.",NULL,"welcome-to-our-blog","1","1",NULL,"2","1","2025-06-09 10:51:11","2025-06-09 10:51:11",NULL
"2","Teaching Tips for Success","Helpful tips for teachers to succeed in the classroom.",NULL,"teaching-tips-for-success","1","0",NULL,"4","2","2025-06-09 10:51:11","2025-06-09 10:51:11",NULL
"3","Latest Technology Trends","An overview of the latest trends in technology.",NULL,"latest-technology-trends","1","0",NULL,"2","1","2025-06-09 10:51:11","2025-06-09 10:51:11",NULL
"4","Classroom Management Strategies","Effective strategies for managing a classroom.",NULL,"classroom-management-strategies","1","0",NULL,"4","2","2025-06-09 10:51:11","2025-06-09 10:51:11",NULL
"5","Health and Wellness Tips","Tips for maintaining health and wellness.",NULL,"health-and-wellness-tips","1","0",NULL,"2","3","2025-06-09 10:51:11","2025-06-09 10:51:11",NULL
"id","student_id","user_id","title","description","fecha_entrega","status","created_at","updated_at"
"1",NULL,"4","Tarea: Entrega de proyecto de matemáticas","Completar el proyecto sobre álgebra y entregarlo en formato PDF.","2025-06-10","INACTIVE","2025-06-09 10:51:11","2025-06-09 10:51:11"
"2",NULL,"4","Tarea: Lectura de capítulo 5 de historia","Leer y resumir el capítulo 5 para discusión en clase.","2025-06-20","INACTIVE","2025-06-09 10:51:11","2025-06-09 10:51:11"
"3",NULL,"4","Examen: Matemáticas","Examen final de matemáticas, temas álgebra y geometría.","2025-06-15","INACTIVE","2025-06-09 10:51:11","2025-06-09 10:51:11"
"4",NULL,"4","Examen: Historia","Examen de historia sobre la revolución industrial.","2025-06-25","INACTIVE","2025-06-09 10:51:11","2025-06-09 10:51:11"
"5",NULL,"4","Presentación: Proyecto de ciencias","Presentar el proyecto de ciencias en clase.","2025-06-30","INACTIVE","2025-06-09 10:51:11","2025-06-09 10:51:11"
"id","student_id","materia_id","grade","lapso","anio_escolar","created_at","updated_at"
"83","17","3","7.83","3","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:11"
"84","17","4","10.33","1","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:11"
"85","17","5","13.31","2","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:11"
"86","18","1","8.33","1","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:11"
"87","18","2","11.41","2","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:11"
"88","18","3","2.85","1","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:11"
"89","18","4","12.07","1","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:11"
"90","18","5","9.04","1","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:11"
"91","19","1","14.11","3","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:11"
"92","19","2","7.83","2","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:11"
"93","19","3","9.23","3","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:11"
"94","19","4","14.33","1","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:11"
"95","19","5","7.45","3","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:11"
"96","20","1","12.35","1","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:11"
"97","20","2","5.33","3","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:11"
"98","20","3","5.64","3","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:11"
"99","20","4","11.09","2","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:11"
"100","20","5","13.51","2","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:11"
"101","21","1","14.48","1","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:11"
"102","21","2","8.88","1","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:11"
"103","21","3","11.93","3","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:11"
"104","21","4","7.45","3","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:11"
"105","21","5","9.47","2","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:11"
"106","22","1","5.22","2","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:11"
"107","22","2","14.80","3","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:11"
"108","22","3","6.45","1","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:11"
"109","22","4","5.27","3","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:11"
"110","22","5","11.13","3","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:11"
"111","23","1","10.97","1","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:11"
"112","23","2","13.94","3","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:11"
"113","23","3","11.32","3","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:11"
"114","23","4","12.17","1","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:11"
"115","23","5","12.27","3","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:11"
"116","24","1","11.59","3","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:11"
"117","24","2","15.56","2","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:11"
"118","24","3","9.31","3","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:11"
"119","24","4","7.79","2","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:11"
"120","24","5","10.61","3","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:11"
"121","25","1","11.12","2","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:11"
"122","25","2","11.79","1","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:11"
"123","25","3","13.20","3","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:11"
"124","25","4","14.93","3","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:11"
"125","25","5","9.10","2","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:11"
"126","26","1","7.11","2","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:11"
"127","26","2","7.38","1","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:11"
"128","26","3","7.89","2","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:11"
"129","26","4","10.50","2","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:11"
"130","26","5","13.58","3","2024-2025","2025-06-09 10:51:09","2025-06-09 10:51:11"
"id","name","created_at","updated_at"
"1","Technology","2025-06-09 10:51:11","2025-06-09 10:51:11"
"2","Education","2025-06-09 10:51:11","2025-06-09 10:51:11"
"3","Health","2025-06-09 10:51:11","2025-06-09 10:51:11"
"4","Sports","2025-06-09 10:51:11","2025-06-09 10:51:11"
"5","Entertainment","2025-06-09 10:51:11","2025-06-09 10:51:11"
"id","name","direccion","email","redessociales","telefono","telefonoActivo","telPresidencia","telPresActivo","telSecretaria","telSecActivo","telTesoreria","telTesActivo","avatar","created_at","updated_at"
"id","name","phone","email","subject","comment","created_at","updated_at"
"id","student_id","user_id","materia_id","title","exam_date","puntaje","valor_examen","created_at","updated_at"
"1","1","4","1","Examen 1 de Matemáticas","2025-06-09","5.00","7.00","2025-06-09 10:51:09","2025-06-09 10:51:09"
"2","1","4","1","Examen 2 de Matemáticas","2025-06-09","20.00","5.00","2025-06-09 10:51:10","2025-06-09 10:51:10"
"3","1","4","1","Examen 3 de Matemáticas","2025-06-09","8.00","30.00","2025-06-09 10:51:10","2025-06-09 10:51:10"
"4","1","4","2","Examen 1 de Ciencias","2025-06-09","17.00","8.00","2025-06-09 10:51:10","2025-06-09 10:51:10"
"5","1","4","2","Examen 2 de Ciencias","2025-06-09","17.00","29.00","2025-06-09 10:51:10","2025-06-09 10:51:10"
"6","1","4","2","Examen 3 de Ciencias","2025-06-09","6.00","24.00","2025-06-09 10:51:10","2025-06-09 10:51:10"
"7","1","4","3","Examen 1 de Historia","2025-06-09","11.00","27.00","2025-06-09 10:51:10","2025-06-09 10:51:10"
"8","1","4","3","Examen 2 de Historia","2025-06-09","5.00","15.00","2025-06-09 10:51:10","2025-06-09 10:51:10"
"9","1","4","3","Examen 3 de Historia","2025-06-09","4.00","10.00","2025-06-09 10:51:10","2025-06-09 10:51:10"
"10","1","4","4","Examen 1 de Lengua","2025-06-09","6.00","24.00","2025-06-09 10:51:10","2025-06-09 10:51:10"
"11","1","4","4","Examen 2 de Lengua","2025-06-09","6.00","20.00","2025-06-09 10:51:10","2025-06-09 10:51:10"
"12","1","4","4","Examen 3 de Lengua","2025-06-09","19.00","13.00","2025-06-09 10:51:10","2025-06-09 10:51:10"
"13","1","4","5","Examen 1 de Inglés","2025-06-09","18.00","7.00","2025-06-09 10:51:10","2025-06-09 10:51:10"
"14","1","4","5","Examen 2 de Inglés","2025-06-09","3.00","16.00","2025-06-09 10:51:10","2025-06-09 10:51:10"
"15","1","4","5","Examen 3 de Inglés","2025-06-09","11.00","23.00","2025-06-09 10:51:10","2025-06-09 10:51:10"
"16","2","4","1","Examen 1 de Matemáticas","2025-06-09","17.00","22.00","2025-06-09 10:51:10","2025-06-09 10:51:10"
"17","2","4","1","Examen 2 de Matemáticas","2025-06-09","14.00","22.00","2025-06-09 10:51:10","2025-06-09 10:51:10"
"18","2","4","1","Examen 3 de Matemáticas","2025-06-09","5.00","6.00","2025-06-09 10:51:10","2025-06-09 10:51:10"
"19","2","4","2","Examen 1 de Ciencias","2025-06-09","15.00","30.00","2025-06-09 10:51:10","2025-06-09 10:51:10"
"20","2","4","2","Examen 2 de Ciencias","2025-06-09","2.00","19.00","2025-06-09 10:51:10","2025-06-09 10:51:10"
"21","2","4","2","Examen 3 de Ciencias","2025-06-09","8.00","30.00","2025-06-09 10:51:10","2025-06-09 10:51:10"
"22","2","4","3","Examen 1 de Historia","2025-06-09","8.00","14.00","2025-06-09 10:51:10","2025-06-09 10:51:10"
"23","2","4","3","Examen 2 de Historia","2025-06-09","13.00","23.00","2025-06-09 10:51:10","2025-06-09 10:51:10"
"24","2","4","3","Examen 3 de Historia","2025-06-09","9.00","15.00","2025-06-09 10:51:10","2025-06-09 10:51:10"
"25","2","4","4","Examen 1 de Lengua","2025-06-09","15.00","13.00","2025-06-09 10:51:10","2025-06-09 10:51:10"
"26","2","4","4","Examen 2 de Lengua","2025-06-09","16.00","6.00","2025-06-09 10:51:10","2025-06-09 10:51:10"
"27","2","4","4","Examen 3 de Lengua","2025-06-09","19.00","28.00","2025-06-09 10:51:10","2025-06-09 10:51:10"
"28","2","4","5","Examen 1 de Inglés","2025-06-09","16.00","11.00","2025-06-09 10:51:10","2025-06-09 10:51:10"
"29","2","4","5","Examen 2 de Inglés","2025-06-09","16.00","25.00","2025-06-09 10:51:10","2025-06-09 10:51:10"
"30","2","4","5","Examen 3 de Inglés","2025-06-09","19.00","8.00","2025-06-09 10:51:10","2025-06-09 10:51:10"
"31","3","4","1","Examen 1 de Matemáticas","2025-06-09","17.00","19.00","2025-06-09 10:51:10","2025-06-09 10:51:10"
"32","3","4","1","Examen 2 de Matemáticas","2025-06-09","1.00","29.00","2025-06-09 10:51:10","2025-06-09 10:51:10"
"33","3","4","1","Examen 3 de Matemáticas","2025-06-09","7.00","15.00","2025-06-09 10:51:10","2025-06-09 10:51:10"
"34","3","4","2","Examen 1 de Ciencias","2025-06-09","13.00","25.00","2025-06-09 10:51:10","2025-06-09 10:51:10"
"35","3","4","2","Examen 2 de Ciencias","2025-06-09","4.00","5.00","2025-06-09 10:51:10","2025-06-09 10:51:10"
"36","3","4","2","Examen 3 de Ciencias","2025-06-09","11.00","9.00","2025-06-09 10:51:10","2025-06-09 10:51:10"
"37","3","4","3","Examen 1 de Historia","2025-06-09","11.00","23.00","2025-06-09 10:51:10","2025-06-09 10:51:10"
"38","3","4","3","Examen 2 de Historia","2025-06-09","17.00","14.00","2025-06-09 10:51:10","2025-06-09 10:51:10"
"39","3","4","3","Examen 3 de Historia","2025-06-09","11.00","17.00","2025-06-09 10:51:10","2025-06-09 10:51:10"
"40","3","4","4","Examen 1 de Lengua","2025-06-09","10.00","18.00","2025-06-09 10:51:10","2025-06-09 10:51:10"
"41","3","4","4","Examen 2 de Lengua","2025-06-09","8.00","30.00","2025-06-09 10:51:10","2025-06-09 10:51:10"
"42","3","4","4","Examen 3 de Lengua","2025-06-09","1.00","5.00","2025-06-09 10:51:10","2025-06-09 10:51:10"
"43","3","4","5","Examen 1 de Inglés","2025-06-09","18.00","22.00","2025-06-09 10:51:10","2025-06-09 10:51:10"
"44","3","4","5","Examen 2 de Inglés","2025-06-09","2.00","15.00","2025-06-09 10:51:10","2025-06-09 10:51:10"
"45","3","4","5","Examen 3 de Inglés","2025-06-09","4.00","26.00","2025-06-09 10:51:10","2025-06-09 10:51:10"
"46","4","4","1","Examen 1 de Matemáticas","2025-06-09","9.00","10.00","2025-06-09 10:51:10","2025-06-09 10:51:10"
"47","4","4","1","Examen 2 de Matemáticas","2025-06-09","6.00","21.00","2025-06-09 10:51:10","2025-06-09 10:51:10"
"48","4","4","1","Examen 3 de Matemáticas","2025-06-09","2.00","15.00","2025-06-09 10:51:10","2025-06-09 10:51:10"
"49","4","4","2","Examen 1 de Ciencias","2025-06-09","2.00","20.00","2025-06-09 10:51:10","2025-06-09 10:51:10"
"50","4","4","2","Examen 2 de Ciencias","2025-06-09","14.00","10.00","2025-06-09 10:51:10","2025-06-09 10:51:10"
"51","4","4","2","Examen 3 de Ciencias","2025-06-09","2.00","10.00","2025-06-09 10:51:10","2025-06-09 10:51:10"
"52","4","4","3","Examen 1 de Historia","2025-06-09","4.00","11.00","2025-06-09 10:51:10","2025-06-09 10:51:10"
"53","4","4","3","Examen 2 de Historia","2025-06-09","15.00","23.00","2025-06-09 10:51:10","2025-06-09 10:51:10"
"54","4","4","3","Examen 3 de Historia","2025-06-09","1.00","10.00","2025-06-09 10:51:10","2025-06-09 10:51:10"
"55","4","4","4","Examen 1 de Lengua","2025-06-09","9.00","25.00","2025-06-09 10:51:10","2025-06-09 10:51:10"
"56","4","4","4","Examen 2 de Lengua","2025-06-09","10.00","19.00","2025-06-09 10:51:10","2025-06-09 10:51:10"
"57","4","4","4","Examen 3 de Lengua","2025-06-09","8.00","25.00","2025-06-09 10:51:10","2025-06-09 10:51:10"
"58","4","4","5","Examen 1 de Inglés","2025-06-09","1.00","12.00","2025-06-09 10:51:10","2025-06-09 10:51:10"
"59","4","4","5","Examen 2 de Inglés","2025-06-09","20.00","5.00","2025-06-09 10:51:10","2025-06-09 10:51:10"
"60","4","4","5","Examen 3 de Inglés","2025-06-09","16.00","13.00","2025-06-09 10:51:10","2025-06-09 10:51:10"
"61","5","4","1","Examen 1 de Matemáticas","2025-06-09","17.00","23.00","2025-06-09 10:51:10","2025-06-09 10:51:10"
"62","5","4","1","Examen 2 de Matemáticas","2025-06-09","2.00","6.00","2025-06-09 10:51:10","2025-06-09 10:51:10"
"63","5","4","1","Examen 3 de Matemáticas","2025-06-09","1.00","24.00","2025-06-09 10:51:10","2025-06-09 10:51:10"
"64","5","4","2","Examen 1 de Ciencias","2025-06-09","10.00","17.00","2025-06-09 10:51:10","2025-06-09 10:51:10"
"65","5","4","2","Examen 2 de Ciencias","2025-06-09","9.00","8.00","2025-06-09 10:51:10","2025-06-09 10:51:10"
"66","5","4","2","Examen 3 de Ciencias","2025-06-09","16.00","27.00","2025-06-09 10:51:10","2025-06-09 10:51:10"
"67","5","4","3","Examen 1 de Historia","2025-06-09","20.00","16.00","2025-06-09 10:51:10","2025-06-09 10:51:10"
"68","5","4","3","Examen 2 de Historia","2025-06-09","17.00","18.00","2025-06-09 10:51:10","2025-06-09 10:51:10"
"69","5","4","3","Examen 3 de Historia","2025-06-09","16.00","16.00","2025-06-09 10:51:10","2025-06-09 10:51:10"
"70","5","4","4","Examen 1 de Lengua","2025-06-09","11.00","8.00","2025-06-09 10:51:10","2025-06-09 10:51:10"
"71","5","4","4","Examen 2 de Lengua","2025-06-09","14.00","6.00","2025-06-09 10:51:10","2025-06-09 10:51:10"
"72","5","4","4","Examen 3 de Lengua","2025-06-09","9.00","25.00","2025-06-09 10:51:10","2025-06-09 10:51:10"
"73","5","4","5","Examen 1 de Inglés","2025-06-09","3.00","30.00","2025-06-09 10:51:10","2025-06-09 10:51:10"
"74","5","4","5","Examen 2 de Inglés","2025-06-09","5.00","14.00","2025-06-09 10:51:10","2025-06-09 10:51:10"
"75","5","4","5","Examen 3 de Inglés","2025-06-09","14.00","22.00","2025-06-09 10:51:10","2025-06-09 10:51:10"
"76","6","4","1","Examen 1 de Matemáticas","2025-06-09","9.00","18.00","2025-06-09 10:51:10","2025-06-09 10:51:10"
"77","6","4","1","Examen 2 de Matemáticas","2025-06-09","8.00","30.00","2025-06-09 10:51:10","2025-06-09 10:51:10"
"78","6","4","1","Examen 3 de Matemáticas","2025-06-09","9.00","22.00","2025-06-09 10:51:10","2025-06-09 10:51:10"
"79","6","4","2","Examen 1 de Ciencias","2025-06-09","12.00","13.00","2025-06-09 10:51:10","2025-06-09 10:51:10"
"80","6","4","2","Examen 2 de Ciencias","2025-06-09","6.00","13.00","2025-06-09 10:51:10","2025-06-09 10:51:10"
"81","6","4","2","Examen 3 de Ciencias","2025-06-09","19.00","26.00","2025-06-09 10:51:10","2025-06-09 10:51:10"
"82","6","4","3","Examen 1 de Historia","2025-06-09","20.00","12.00","2025-06-09 10:51:10","2025-06-09 10:51:10"
"83","6","4","3","Examen 2 de Historia","2025-06-09","4.00","8.00","2025-06-09 10:51:10","2025-06-09 10:51:10"
"84","6","4","3","Examen 3 de Historia","2025-06-09","3.00","30.00","2025-06-09 10:51:10","2025-06-09 10:51:10"
"85","6","4","4","Examen 1 de Lengua","2025-06-09","9.00","21.00","2025-06-09 10:51:10","2025-06-09 10:51:10"
"86","6","4","4","Examen 2 de Lengua","2025-06-09","3.00","12.00","2025-06-09 10:51:10","2025-06-09 10:51:10"
"87","6","4","4","Examen 3 de Lengua","2025-06-09","20.00","29.00","2025-06-09 10:51:10","2025-06-09 10:51:10"
"88","6","4","5","Examen 1 de Inglés","2025-06-09","1.00","15.00","2025-06-09 10:51:10","2025-06-09 10:51:10"
"89","6","4","5","Examen 2 de Inglés","2025-06-09","1.00","14.00","2025-06-09 10:51:10","2025-06-09 10:51:10"
